HCMtranscript no.	"Accession no (human,chimp,mouse)"	LocusLink ID	gene symbol	Panther Molecular function	Panther Biological Process	P-value model 1 (dN/dS) human (two-sided)	P-value model 1 (dN/dS) chimp (two-sided)	"P-value model 1 (dN/dS) human (one-sided, test for pos selection)"	"P-value model 1 (dN/dS) chimp (one-sided, test for pos selection)"	dS_human	dN_human	dN/dS human	dS_chimp	dN_chimp	dN/dS chimp	% GC	% ALU	% MIR	% SINEs	% L1	% L2	% LINEs	% MaLR	% ERVL	% ERV1	% ERVK	% LTR elements	% MER1	% MER2	% DNA Elements	% Mariner	% T2	% Tc2	% Low Complexity	% Satellite	% Simple	% Unknown	% rRNA	% scRNA	% snRNA	% tRNA	% RNA elements	Model 2 (M2) p-value human	Model 2 (M2) p-value chimp	M2_LR	M2_L_3	M2_Mu_3	M2_p0_3	M2_p1_3	M2_L_2	M2_Mu_2	M2_P0_2	local cM/Mb (from Kong et al.)	Chromosome (Chr)	Gene Start on Chr
HCM2726	"AY406944,AY406945,AY406946"	7352	UCP3	Mitochondrial carrier protein->Transfer/carrier protein	Cation transport->Ion transport->Transport	4.01E-01	2.39E-03	1.00E+00	1.00E+00	1.91E-03	1.91E-07	1.00E-04	2.99E-02	2.99E-06	1.00E-04	47	17.17	6.15	23.32	4.71	6.81	11.52	0	0.5	0	0	0.5	1.73	0	1.73	0	0.12	0	0.38	0	0.65	0	0	0	0	0	0	1.00E+00	1.77E-01	-9.31E-04	-1102.02	6.14E-01	1.00E+03	2.68E+02	-1102.019	6.14E-01	3.73E+00	0.86	11	69787279
HCM4823	"AY413235,AY413236,AY413237"	1948	EFNB2	Membrane-bound signaling molecule->Signaling molecule	Neurogenesis->Ectoderm development->Developmental processes;Ligand-mediated signaling->Cell communication->Signal transduction;Receptor protein tyrosine kinase signaling pathway->Cell surface receptor mediated signal transduction->Signal transduction	4.70E-01	4.08E-02	1.00E+00	1.00E+00	1.53E-04	1.53E-08	1.00E-04	8.44E-03	8.44E-07	1.00E-04	41	4.23	1.51	5.74	0.95	0.57	1.52	2.53	0.33	0.41	0	3.27	1.65	0.71	2.36	0	0	0	0.69	0	0.77	0	0	0	0	0	0	4.17E-01	2.70E-01	2.22E-02	-893.3499	3.08E-01	1.00E+03	1.00E-04	-893.3721	3.08E-01	1.00E+03	2.55	13	89576906
HCM3876	"AY410394,AY410395,AY410396"	1743	DLST	Acyltransferase->Transferase	Tricarboxylic acid pathway->Carbohydrate metabolism	4.93E-01	4.93E-01	1.00E+00	1.00E+00	1.07E-04	1.07E-08	1.00E-04	1.07E-04	1.07E-08	1.00E-04	47	17.53	3.55	21.08	3.28	5.93	9.21	0.76	0	0.55	0	1.31	1.8	0.55	2.35	0	0	0	0.2	0	0.6	0	0	0	0	0.03	0.03	1.00E+00	1.00E+00	-1.32E-03	-386.9467	3.55E-01	4.24E+00	7.41E-01	-386.9454	3.55E-01	5.72E+00	1.12	14	55668310
HCM1820	"AY404226,AY404227,AY404228"	3337	DNAJB1	Other chaperones->Chaperone	Stress response->Immunity and defense;Protein folding->Protein metabolism and modification	7.10E-03	4.48E-01	1.00E+00	1.00E+00	1.53E-02	1.53E-06	1.00E-04	1.29E-04	1.29E-08	1.00E-04	54	34.7	3.53	38.23	1.17	3.78	4.95	1.04	0.37	0.19	0	1.6	1.14	0	1.14	0	0	0	0.83	0	1.25	0	0	0	0	0	0	1.00E+00	3.60E-01	-1.90E-03	-1378.803	4.34E-01	1.00E+03	3.91E+01	-1378.801	4.34E-01	2.56E+01	1.38	19	15036674
HCM7028	"AY419850,AY419851,AY419852"	10213		Other miscellaneous function protein->Miscellaneous function	Proteolysis->Protein metabolism and modification	4.84E-01	4.84E-01	1.00E+00	1.00E+00	1.26E-04	1.26E-08	1.00E-04	1.26E-04	1.26E-08	1.00E-04	35	8.66	2.4	11.06	10.29	1.75	12.04	1.17	0.38	1.45	0	3	1.67	1.64	3.31	0.07	1.39	0	0.98	0	0.39	0	0.09	0	0	0	0.09	4.08E-01	1.28E-01	2.70E-02	-1233.912	1.65E-01	8.33E+00	1.00E-04	-1233.939	1.65E-01	1.00E+03	0.48	2	158642116
HCM6268	"AY417570,AY417571,AY417572"			Other transferase->Transferase	"Lipid metabolism->Lipid, fatty acid and steroid metabolism"	1.09E-01	1.21E-01	1.00E+00	1.00E+00	8.65E-03	8.65E-07	1.00E-04	8.26E-03	8.26E-07	1.00E-04	41	5.91	4.59	10.5	4.7	3.09	7.79	3.26	0.77	0.62	0	4.65	2.72	0	2.72	0	0.48	0	0.72	0	0.46	0	0	0	0	0	0	1.00E+00	1.00E+00	-1.30E-02	-2355.564	1.08E+00	8.79E+02	9.95E+02	-2355.551	1.08E+00	8.50E-01	1.45	20	13006585
HCM7261	"AY420549,AY420550,AY420551"	57447	NDRG2	Molecular function unknown	Biological process unclassified	4.90E-01	4.90E-01	1.00E+00	1.00E+00	1.17E-04	1.17E-08	1.00E-04	1.17E-04	1.17E-08	1.00E-04	46	11.98	2.61	14.59	0.87	3.21	4.08	0.36	0.19	3.54	0	4.09	1.54	0.42	1.96	0	0	0	0.37	0	0.88	0	0	0	0	0	0	1.00E+00	1.00E+00	-3.27E-03	-1277.726	3.98E-01	4.68E+00	4.29E-01	-1277.722	3.98E-01	1.09E+01	5.43	14	1561806
HCM4532	"AY412362,AY412363,AY412364"	55197		Molecular function unclassified	Biological process unclassified	4.50E-02	9.46E-02	1.00E+00	1.00E+00	9.20E-03	9.20E-07	1.00E-04	5.26E-03	5.26E-07	1.00E-04	39	18.11	1.71	19.82	14.26	2.94	17.2	2.04	0.54	1.6	0	4.18	2.06	1.73	3.79	0	0	0	0.27	0	0.53	0	0	0	0.05	0	0.05	4.02E-01	1.21E-02	3.06E-02	-1164.371	3.14E-01	1.00E+03	1.00E-04	-1164.402	3.14E-01	1.00E+03	0.73	18	31826132
HCM2456	"AY406134,AY406135,AY406136"			Molecular function unclassified	Biological process unclassified	4.93E-01	4.93E-01	1.00E+00	1.00E+00	1.56E-04	1.56E-08	1.00E-04	1.56E-04	1.56E-08	1.00E-04	40	22.63	1.66	24.29	10.89	3.07	13.96	2.39	0.69	0.95	0	4.03	1.42	0.92	2.34	0.07	0	0	0.67	0	0.57	0	0	0	0	0	0	1.00E+00	1.00E+00	-1.26E-03	-409.4135	5.38E-01	2.42E+00	4.31E+00	-409.4123	5.38E-01	5.62E-01	1.87	9	6514825
HCM6845	"AY419301,AY419302,AY419303"	8508	NIPSNAP1	Other phosphatase->Phosphatase	Biological process unclassified	4.43E-01	5.13E-02	1.00E+00	1.00E+00	1.59E-04	1.59E-08	1.00E-04	1.35E-02	1.35E-06	1.00E-04	48	39.06	4.04	43.1	7.13	2.12	9.25	1.84	0	0.68	0	2.52	1.52	0	1.52	0	0	0	0.25	0	0.48	0	0	0	0	0	0	3.85E-01	4.16E-01	4.27E-02	-1187.83	4.34E-01	1.00E+03	1.00E-04	-1187.872	4.34E-01	1.00E+03	0.6	22	13717833
HCM5760	"AY416046,AY416047,AY416048"	58528		Molecular function unclassified	Biological process unclassified	4.42E-01	4.34E-01	1.00E+00	1.00E+00	1.30E-03	1.30E-07	1.00E-04	6.82E-03	6.82E-07	1.00E-04	43	19.32	2.66	21.98	7.13	3.1	10.23	1.52	0.32	0.74	0	2.58	2.6	0.4	3	0	0	0	0.68	0	0.55	0	0	0	0.03	0.05	0.08	4.74E-01	2.49E-01	2.13E-03	-748.6829	4.66E-01	1.00E+03	1.44E-01	-748.685	4.66E-01	1.00E+03	1.4	6	89310807
HCM0305	"AY399681,AY399682,AY399683"	5495	PPM1B	Protein phosphatase->Phosphatase	Other intracellular signaling cascade->Intracellular signaling cascade->Signal transduction;MAPKKK cascade->Intracellular signaling cascade->Signal transduction;Protein phosphorylation->Protein modification->Protein metabolism and modification	4.57E-01	4.74E-02	1.00E+00	1.00E+00	1.29E-04	1.29E-08	1.00E-04	2.93E-03	2.93E-07	1.00E-04	39	24.37	1.25	25.62	15.16	1	16.16	2.12	0	2.72	0	4.84	2.26	0.64	2.9	0	0	0.35	0.63	0	0.44	0	0	0	0.09	0	0.09	1.00E+00	2.84E-01	-1.80E-04	-2381.269	3.98E-01	1.00E+03	2.32E+02	-2381.269	3.98E-01	4.33E+00	1.28	2	44715016
HCM6624	"AY418638,AY418639,AY418640"	60496	AASDHPPT	Molecular function unclassified	Biological process unclassified	3.02E-02	4.54E-01	1.00E+00	1.00E+00	1.66E-02	1.66E-06	1.00E-04	1.43E-04	1.43E-08	1.00E-04	37	4.98	3.45	8.43	9.24	6.93	16.17	2.58	2.42	0.85	0	5.85	1	2.08	3.08	1.17	0	0.47	0.31	0	0.4	0	0	0	0	0	0	1.00E+00	1.00E+00	-1.17E-02	-956.4197	4.42E-01	9.96E+02	7.59E+01	-956.4081	4.44E-01	1.58E+01	0.62	11	102891184
HCM5221	"AY414429,AY414430,AY414431"			Molecular function unclassified	Biological process unclassified	1.66E-02	2.77E-01	1.00E+00	1.00E+00	1.04E-02	1.04E-06	1.00E-04	2.70E-03	2.70E-07	1.00E-04	39	14.72	2.17	16.89	11.56	3.14	14.7	0.97	0.28	0.9	1.02	3.17	1.9	0.74	2.64	0	0	0	0.63	0	0.42	0	0.08	0	0	0	0.08	3.79E-01	1.00E+00	4.76E-02	-1827.467	2.93E-01	1.00E+03	1.00E-04	-1827.514	2.93E-01	1.00E+03	1.1	9	87215403
HCM0854	"AY401328,AY401329,AY401330"	3188	HNRPH2	Other RNA-binding protein->Nucleic acid binding	"mRNA splicing->Pre-mRNA processing->Nucleoside, nucleotide and nucleic acid metabolism"	4.83E-01	4.83E-01	1.00E+00	1.00E+00	1.27E-04	1.27E-08	1.00E-04	1.27E-04	1.27E-08	1.00E-04	43	18.29	2.53	20.82	10.22	3.36	13.58	2.25	0	3.69	0	5.94	1.51	0	1.51	0	0	0	0.48	0	0.93	0	0	0	0	0	0	4.02E-01	4.30E-01	3.08E-02	-1716.87	2.40E-01	5.96E+00	1.00E-04	-1716.901	2.40E-01	1.00E+03	0.82	X	91541049
HCM0407	"AY399987,AY399988,AY399989"			KRAB box transcription factor->Zinc finger transcription factor->Transcription factor	"mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.30E-01	5.43E-03	1.00E+00	1.00E+00	1.19E-04	1.19E-08	1.00E-04	8.98E-03	8.98E-07	1.00E-04	47	37.24	1.26	38.5	4.25	4.16	8.41	0.58	0.39	2.74	0	3.71	1.43	2.75	4.18	0	0	0	0.26	0	0.61	0	0	0	0	0	0	1.00E+00	1.00E+00	-3.73E-03	-2253.741	5.48E-01	2.83E+02	5.58E+01	-2253.737	5.47E-01	4.96E+00	2.18	7	147154314
HCM4401	"AY411969,AY411970,AY411971"	8880	FUBP1	Other RNA-binding protein->Nucleic acid binding	Biological process unclassified	3.95E-01	4.01E-01	1.00E+00	1.00E+00	3.07E-03	3.07E-07	1.00E-04	1.29E-04	1.29E-08	1.00E-04	38	16.82	1.73	18.55	2.82	3.01	5.83	0.9	0	0.28	0	1.18	0.73	0.9	1.63	0	0	0	1.17	0	0.5	0	0	0	0	0	0	3.88E-01	3.47E-01	4.06E-02	-2066.024	3.51E-01	1.00E+03	1.00E-04	-2066.065	3.51E-01	1.00E+03	0.51	1	78064551
HCM3512	"AY409302,AY409303,AY409304"	84148	MYST1	Acetyltransferase->Transferase;Zinc finger transcription factor->Transcription factor	"mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	3.07E-02	4.35E-01	1.00E+00	1.00E+00	1.23E-02	1.23E-06	1.00E-04	1.71E-04	1.71E-08	1.00E-04	54	31.59	2.97	34.56	0.65	1.98	2.63	1.5	1.13	0	0.96	3.59	0.62	0.13	0.75	0	0	0	0.26	0	0.92	0	0	0	0	0	0	3.84E-01	4.65E-01	4.38E-02	-1361.877	4.22E-01	1.00E+03	1.00E-04	-1361.921	4.22E-01	1.00E+03	2.51	22	34961131
HCM6723	"AY418935,AY418936,AY418937"	8565	YARS	Aminoacyl-tRNA synthetase->Synthetase->Synthase and synthetase	Amino acid activation->Protein metabolism and modification	7.83E-02	2.15E-01	1.00E+00	1.00E+00	7.77E-03	7.77E-07	1.00E-04	3.61E-03	3.61E-07	1.00E-04	47	29.64	4.26	33.9	7.68	3.74	11.42	0	0	1.84	0	1.84	0.76	0.11	0.87	0	0	0	0.24	0	0.53	0	0	0	0	0	0	4.43E-01	1.00E+00	1.03E-02	-2151.939	4.27E-01	1.00E+03	1.00E-04	-2151.95	4.27E-01	1.00E+03	1.05	1	31957468
HCM6781	"AY419109,AY419110,AY419111"	1937	EEF1G	Translation elongation factor->Translation factor->Nucleic acid binding	Protein biosynthesis->Protein metabolism and modification	5.63E-02	1.06E-01	1.00E+00	1.00E+00	4.37E-03	4.37E-07	1.00E-04	3.61E-03	3.61E-07	1.00E-04	52	16.39	2.4	18.79	1.42	0.29	1.71	0	0	0.66	0	0.66	0.28	0	0.28	0	0	0	0.33	0	0.41	0	0	0	0	0.03	0.03	1.00E+00	5.34E-02	-4.85E-03	-1614.171	2.75E-01	1.00E+03	6.15E+01	-1614.166	2.75E-01	1.82E+01	0.67	11	58065565
HCM5480	"AY415206,AY415207,AY415208"	9827		Molecular function unclassified	Biological process unclassified	1.75E-02	1.09E-01	1.00E+00	1.00E+00	1.12E-02	1.12E-06	1.00E-04	6.15E-03	6.15E-07	1.00E-04	48	12.19	1.38	13.57	2.66	4.16	6.82	0	0.27	0	0	0.27	1.92	0.29	2.21	0	0	0	0.67	0	0.41	0	0	0	0	0	0	3.95E-01	1.00E+00	3.52E-02	-2025.074	4.54E-01	1.00E+03	1.00E-04	-2025.109	4.54E-01	1.00E+03	1.01	9	37397096
HCM4200	"AY411366,AY411367,AY411368"	64400	FTS	Molecular function unclassified	Biological process unclassified	4.83E-01	4.83E-01	1.00E+00	1.00E+00	1.19E-04	1.19E-08	1.00E-04	1.19E-04	1.19E-08	1.00E-04	43	16.93	1.33	18.26	10.67	4.4	15.07	2.46	0.43	0	0	2.89	2.37	0.39	2.76	0	0	0	0.26	0	0.27	0	0	0	0	0	0	4.90E-01	4.49E-01	2.99E-04	-1035.619	4.71E-01	5.12E+00	1.00E-04	-1035.619	4.71E-01	1.00E+03	1.63	16	40521337
HCM1374	"AY402888,AY402889,AY402890"	5775	PTPN4	Protein phosphatase->Phosphatase;Other cytoskeletal proteins->Cytoskeletal protein	Protein phosphorylation->Protein modification->Protein metabolism and modification	4.95E-01	4.95E-01	1.00E+00	1.00E+00	1.35E-04	1.35E-08	1.00E-04	1.35E-04	1.35E-08	1.00E-04	37	9.44	1.46	10.9	30.81	2.66	33.47	2.35	0	3.7	0.49	6.54	2.07	0.74	2.81	0	0.12	0	0.37	0	0.59	0	0	0	0.1	0.04	0.14	1.00E+00	1.00E+00	-3.46E-04	-332.4355	1.66E-01	3.85E+00	2.06E+00	-332.4351	1.66E-01	1.87E+00	1.55	2	115781197
HCM3754	"AY410028,AY410029,AY410030"	2487	FRZB	Other signaling molecule->Signaling molecule	Skeletal development->Mesoderm development->Developmental processes;Ligand-mediated signaling->Cell communication->Signal transduction	4.69E-01	7.53E-03	1.00E+00	1.00E+00	1.45E-04	1.45E-08	1.00E-04	1.35E-02	1.35E-06	1.00E-04	40	6.23	1.49	7.72	8.14	4.83	12.97	0.32	0.44	1.98	0	2.74	0.83	1.21	2.04	0.04	0	0	0.46	0	0.19	0	0	0.09	0	0	0.09	1.00E+00	2.18E-02	-3.36E-03	-1139.416	4.17E-01	9.96E+02	1.32E+02	-1139.412	4.17E-01	8.01E+00	0.62	2	180567324
HCM6373	"AY417885,AY417886,AY417887"			Non-motor actin binding protein->Actin family cytoskeletal protein->Cytoskeletal protein	Cell motility->Cell structure and motility;Cell structure->Cell structure and motility;Protein complex assembly->Protein metabolism and modification	4.91E-01	4.91E-01	1.00E+00	1.00E+00	1.26E-04	1.26E-08	1.00E-04	1.26E-04	1.26E-08	1.00E-04	42	22.07	2.73	24.8	3.26	4.04	7.3	2.4	0.17	1.13	0	3.7	3.19	0	3.19	0	0	0	0.32	0	0.36	0	0	0	0.18	0	0.18	1.00E+00	4.70E-01	-2.26E-03	-911.947	4.01E-01	4.22E+00	7.00E-01	-911.9447	4.01E-01	6.03E+00	1.02	1	112563808
HCM7340	"AY420786,AY420787,AY420788"	7533	YWHAH	Kinase inhibitor->Kinase modulator->Select regulatory molecule	Biological process unclassified	4.70E-01	1.11E-02	1.00E+00	1.00E+00	1.26E-04	1.26E-08	1.00E-04	1.16E-02	1.16E-06	1.00E-04	48	26.8	5.34	32.14	2.19	6.98	9.17	2.17	0.79	1.09	0	4.05	1.3	0	1.3	0	0	0	0.37	0	1.53	0	0	0	0.1	0	0.1	4.30E-01	2.89E-01	1.54E-02	-1026.046	2.60E-01	2.63E+01	1.00E-04	-1026.061	2.60E-01	1.00E+03	1.13	22	16108197
HCM0408	"AY399990,AY399991,AY399992"	7095	TLOC1	Molecular function unclassified	Biological process unclassified	4.87E-01	4.87E-01	1.00E+00	1.00E+00	1.27E-04	1.27E-08	1.00E-04	1.27E-04	1.27E-08	1.00E-04	40	14.51	1.34	15.85	6.18	7.73	13.91	2.79	1.5	2.62	0.21	7.12	1.78	2.51	4.29	0.07	0	0	0.37	0	0.5	0	0	0	0	0	0	1.00E+00	1.00E+00	-5.16E-03	-1758.085	3.46E-01	4.26E+00	4.27E-01	-1758.08	3.46E-01	9.98E+00	1.04	3	174152700
HCM6971	"AY419679,AY419680,AY419681"	983	CDC2	Non-receptor serine/threonine protein kinase->Protein kinase->Kinase	Cell cycle control->Cell cycle	4.88E-01	4.88E-01	1.00E+00	1.00E+00	1.18E-04	1.18E-08	1.00E-04	1.18E-04	1.18E-08	1.00E-04	38	7.93	3.23	11.16	10.22	4.23	14.45	3.05	0.96	0.53	0	4.54	2.96	0.78	3.74	0.04	0	0.72	0.84	0	0.41	0	0	0	0	0	0	4.31E-01	1.00E+00	1.53E-02	-395.4777	6.21E-01	1.00E+03	1.00E-04	-395.493	6.21E-01	1.00E+03	1.18	10	59560948
HCM1708	"AY403890,AY403891,AY403892"	5531	PPP4C	Protein phosphatase->Phosphatase	Cell cycle control->Cell cycle;Protein phosphorylation->Protein modification->Protein metabolism and modification	7.10E-03	4.63E-01	1.00E+00	1.00E+00	1.65E-02	1.65E-06	1.00E-04	1.48E-04	1.48E-08	1.00E-04	53	26.34	4.74	31.08	0.39	1.78	2.17	0.11	0	6.02	0	6.13	0.82	0.16	0.98	0	0	0	0.53	0	0.58	0	0	0	0	0	0	3.89E-01	1.00E+00	4.00E-02	-920.3402	3.58E-01	1.00E+03	1.00E-04	-920.3801	3.58E-01	1.00E+03	0.46	4	34142596
HCM5089	"AY414033,AY414034,AY414035"	8851	CDK5R1	Kinase activator->Kinase modulator->Select regulatory molecule	Cell cycle control->Cell cycle	4.87E-01	4.87E-01	1.00E+00	1.00E+00	2.11E-04	2.11E-08	1.00E-04	2.11E-04	2.11E-08	1.00E-04	47	20.5	2.38	22.88	2.77	2.09	4.86	1.2	0	1.11	0	2.31	1.12	0	1.12	0.06	0	0	0.9	0	0.49	0	0	0.1	0.04	0	0.14	3.91E-01	9.65E-02	3.83E-02	-1389.439	2.73E-01	5.84E+00	1.00E-04	-1389.477	2.73E-01	1.00E+03	2.11	17	30617138
HCM5963	"AY416655,AY416656,AY416657"	9337	CNOT8	Other transcription factor->Transcription factor	"mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.62E-01	5.34E-02	1.00E+00	1.00E+00	1.21E-04	1.21E-08	1.00E-04	4.49E-03	4.49E-07	1.00E-04	44	28.57	1.5	30.07	5.33	1.76	7.09	0	0	2.6	0	2.6	1.73	0	1.73	0	0	0	0.31	0	0.47	0	0	0	0	0	0	3.52E-01	2.55E-01	7.18E-02	-1390.983	5.17E-01	1.00E+03	1.00E-04	-1391.055	5.17E-01	1.00E+03	0.53	5	157262325
HCM4866	"AY413364,AY413365,AY413366"	22834		KRAB box transcription factor->Zinc finger transcription factor->Transcription factor	Biological process unclassified	4.95E-01	4.95E-01	1.00E+00	1.00E+00	1.38E-04	1.38E-08	1.00E-04	1.38E-04	1.38E-08	1.00E-04	44	29.87	1.33	31.2	2.61	1.27	3.88	4.45	3.7	0	0	8.15	0.38	0.05	0.43	0	0	0	0.47	0	0.6	0	0	0	0.06	0	0.06	4.38E-01	1.00E+00	1.22E-02	-704.2747	2.84E-01	4.62E+00	1.00E-04	-704.2869	2.84E-01	1.00E+03	1.09	17	48195902
HCM6927	"AY419547,AY419548,AY419549"			Non-receptor serine/threonine protein kinase->Protein kinase->Kinase	Intracellular signaling cascade->Signal transduction;Protein phosphorylation->Protein modification->Protein metabolism and modification	5.48E-02	3.19E-01	1.00E+00	1.00E+00	1.69E-02	1.69E-06	1.00E-04	4.22E-03	4.22E-07	1.00E-04	57	5.61	0.35	5.96	5.5	0.56	6.06	4.82	0.74	1.25	0	6.81	0.34	0	0.34	0	0	0	0.86	0	3.2	0	0	0	0	0	0	1.00E+00	1.00E+00	-2.75E-03	-2686.456	8.17E-01	1.00E+03	2.02E+02	-2686.453	8.17E-01	4.97E+00	3.45	21	30358303
HCM4554	"AY412428,AY412429,AY412430"	894	CCND2	Kinase activator->Kinase modulator->Select regulatory molecule	Cell cycle control->Cell cycle	4.70E-02	4.73E-01	1.00E+00	1.00E+00	7.75E-03	7.75E-07	1.00E-04	1.40E-04	1.40E-08	1.00E-04	46	10.95	4.06	15.01	6.16	1.43	7.59	1.23	0	1.21	0	2.44	0.86	0.31	1.17	0	0	0	0.78	0	0.52	0	0	0	0	0	0	1.00E+00	4.26E-01	-6.18E-04	-920.2957	4.61E-01	1.00E+03	1.60E+02	-920.295	4.61E-01	6.25E+00	3	12	4410017
HCM3123	"AY408135,AY408136,AY408137"	2705	GJB1	Gap junction->Cell junction protein	Cell communication->Signal transduction	1.30E-02	4.32E-01	1.00E+00	1.00E+00	2.28E-02	2.28E-06	1.00E-04	1.55E-04	1.55E-08	1.00E-04	49	30.96	3.05	34.01	1.26	3.93	5.19	0	0	3.62	0	3.62	0.38	0	0.38	0.07	0	0	0.68	0	1.51	0	0	0	0	0	0	3.98E-01	1.00E+00	3.34E-02	-1354.404	3.02E-01	1.00E+03	1.00E-04	-1354.438	3.02E-01	1.00E+03	0.14	X	70783291
HCM4351	"AY411819,AY411820,AY411821"	55079		Molecular function unclassified	Biological process unclassified	4.41E-01	2.08E-01	1.00E+00	1.00E+00	1.77E-04	1.77E-08	1.00E-04	9.82E-03	9.82E-07	1.00E-04	41	9.96	2.89	12.85	6.2	4.52	10.72	1.35	0.43	0	0	1.78	1.67	0	1.67	0	0	0	0.4	0	0.72	0	0	0	0.06	0	0.06	4.14E-01	4.65E-01	2.35E-02	-901.4031	4.23E-01	1.00E+03	1.00E-04	-901.4266	4.23E-01	1.00E+03	1.45	3	67203888
HCM5524	"AY415338,AY415339,AY415340"	5778	PTPN7	Protein phosphatase->Phosphatase	Protein phosphorylation->Protein modification->Protein metabolism and modification	5.94E-02	4.37E-01	1.00E+00	1.00E+00	1.85E-02	1.85E-06	1.00E-04	1.39E-04	1.39E-08	1.00E-04	54	12.95	3.99	16.94	0	1.84	1.84	0.32	0.45	0.48	0	1.25	0.71	0	0.71	0	0	0	0.14	0	0.47	0	0	0	0.1	0	0.1	1.00E+00	7.67E-03	-1.33E-03	-1197.041	4.57E-01	1.00E+03	1.28E+02	-1197.039	4.57E-01	7.80E+00	1.95	1	177314676
HCM2820	"AY407226,AY407227,AY407228"	5532	PPP3CB	Protein phosphatase->Phosphatase	Calcium mediated signaling->Intracellular signaling cascade->Signal transduction;Protein phosphorylation->Protein modification->Protein metabolism and modification	4.68E-01	4.45E-02	1.00E+00	1.00E+00	1.39E-04	1.39E-08	1.00E-04	3.73E-03	3.73E-07	1.00E-04	41	20.54	1.64	22.18	5.5	2.87	8.37	1.44	0	0	0	1.44	0.37	0.18	0.55	0	0	0	0.35	0	0.62	0	0	0	0	0	0	4.56E-01	2.03E-02	6.08E-03	-1713.807	1.18E-01	6.29E+00	1.00E-04	-1713.813	1.18E-01	1.00E+03	0.55	10	73741615
HCM5376	"AY414894,AY414895,AY414896"	5409	PNMT	Methyltransferase->Transferase	Neurotransmitter release->Synaptic transmission->Neuronal activities	4.49E-01	1.81E-01	1.00E+00	1.00E+00	1.40E-04	1.40E-08	1.00E-04	9.51E-03	9.51E-07	1.00E-04	55	15.14	6.69	21.83	2.15	4.33	6.48	0.36	0	0.43	0	0.79	0.26	0.34	0.6	0	0	0	0.63	0	0.49	0	0	0	0	0	0	1.00E+00	1.00E+00	-3.48E-04	-836.8271	6.99E-01	1.00E+03	1.71E+02	-836.8267	6.99E-01	5.85E+00	0.87	17	37945962
HCM4582	"AY412512,AY412513,AY412514"	509	ATP5C1	Other hydrolase->Hydrolase;Synthase->Synthase and synthetase;Hydrogen transporter->Cation transporter->Transporter	"Cation transport->Ion transport->Transport;Purine metabolism->Nucleoside, nucleotide and nucleic acid metabolism"	4.92E-01	4.92E-01	1.00E+00	1.00E+00	1.22E-04	1.22E-08	1.00E-04	1.22E-04	1.22E-08	1.00E-04	41	20.76	2.1	22.86	10.12	2.85	12.97	1.36	2.57	0	0	3.93	1	1.65	2.65	0.04	0.94	0.15	0.42	0	0.4	0	0	0	0	0	0	1.00E+00	2.39E-01	-2.87E-03	-894.8159	5.31E-01	4.21E+00	8.77E-01	-894.813	5.31E-01	4.80E+00	2.01	10	8182334
HCM6725	"AY418941,AY418942,AY418943"	1912	PHC2	Chromatin/chromatin-binding protein->Nucleic acid binding	Biological process unclassified	2.19E-01	1.30E-01	1.00E+00	1.00E+00	4.49E-03	4.49E-07	1.00E-04	6.12E-03	6.12E-07	1.00E-04	50	6.57	4.88	11.45	1.73	3.81	5.54	2.54	0	0	0.44	2.98	1.02	0.74	1.76	0	0	0	0.02	0	0.5	0	0	0	0	0	0	4.19E-01	1.00E+00	2.08E-02	-1339.47	3.57E-01	1.00E+03	1.00E-04	-1339.491	3.57E-01	1.00E+03	1.05	1	32508689
HCM2943	"AY407595,AY407596,AY407597"	9533		DNA-directed RNA polymerase->Nucleic acid binding	"General mRNA transcription activities->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	4.20E-01	1.83E-02	1.00E+00	1.00E+00	1.17E-04	1.17E-08	1.00E-04	1.37E-02	1.37E-06	1.00E-04	47	22.96	1.53	24.49	2.51	2.07	4.58	0	0	0	0	0	0.64	0.61	1.25	0	0	0	0.35	0	0.7	0	0	0	0.16	0	0.16	4.88E-01	4.75E-03	4.74E-04	-1882.999	6.93E-01	8.75E+02	1.00E-04	-1883	6.92E-01	1.00E+03	1.71	6	45062921
HCM3210	"AY408396,AY408397,AY408398"	94121	SYTL4	Membrane traffic regulatory protein->Membrane traffic protein	Regulated exocytosis->Exocytosis->Intracellular protein traffic	4.54E-01	1.07E-02	1.00E+00	1.00E+00	1.27E-04	1.27E-08	1.00E-04	4.56E-03	4.56E-07	1.00E-04	42	10.81	2.92	13.73	15.74	9.79	25.53	0.43	1	0	0	1.43	0.81	1.89	2.7	0	0	0	0.45	0	0.46	0	0	0	0	0	0	1.00E+00	4.73E-01	-2.57E-03	-2951.035	4.16E-01	9.93E+02	4.17E+02	-2951.033	4.16E-01	2.43E+00	1.16	X	90806209
